"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-08-31,68625,"25504","WV","Huntington-Ashland","Cabell","Barboursville",7357,125400,0,0.00480769230769231,0.00884955752212389,0.0218040119285194,0.0129352878051952,"2018-08","2018-Q3",125400,0,"2018-08"
2018-08-31,68037,"24202","VA","Kingsport-Bristol-Bristol","Bristol City","Bristol",7358,133800,-0.00149253731343284,-0.00372300819061802,0.0144048521607278,0.018453478381101,0.00950989490227405,"2018-05","2018-Q2",134300,-0.00372300819061802,"2018-02"
2018-08-31,78691,"47601","IN","Evansville","Warrick","Boonville",7359,118200,0.000846740050804403,-0.012531328320802,0.0198446937014668,0.0291140417674565,0.0156491196291075,"2018-05","2018-Q2",119700,-0.012531328320802,"2018-01"
2018-08-31,59040,"03106","NH","Concord","Merrimack","Hooksett",7360,267900,-0.00223463687150838,0.00563063063063063,0.0530660377358491,0.0563220291724611,0.0129737241772052,"2018-07","2018-Q3",268500,-0.00223463687150838,"2018-06"
2018-08-31,94147,"83406","ID","Idaho Falls","Bonneville","Ammon",7361,216200,-0.00230733733271804,0.0140712945590994,0.123700623700624,0.0585067390709824,0.0168671050026377,"2018-07","2018-Q3",216700,-0.00230733733271804,"2018-07"
2018-08-31,65558,"18643","PA","Scranton--Wilkes-Barre--Hazleton","Luzerne","Exeter",7362,112500,0.000889679715302491,-0.00177462289263532,0.0236578707916288,0.0265703230339054,-0.000621202670472276,"2010-05","2010-Q2",118600,-0.051433389544688,"2008-07"
2018-08-31,95171,"86327","AZ","Prescott","Yavapai","Dewey-Humboldt",7363,271400,-0.00110415899889584,0.00369822485207101,0.0786963434022258,0.0870473603099151,0.018069753136589,"2006-08","2006-Q3",291200,-0.0679945054945055,"2006-01"
2018-08-31,63771,"14843","NY","Corning","Steuben","Hornell",7364,64300,-0.00618238021638331,-0.0138036809815951,0.0206349206349206,0.00442635073571829,0.00747460154618906,"2018-02","2018-Q1",65300,-0.0153139356814701,"2017-10"
2018-08-31,72580,"33413","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach","Greenacres",7365,275700,0.00108932461873638,0.00693937180423667,0.069433669511249,0.103073561398731,0.0200974176172388,"2006-06","2006-Q2",328400,-0.16047503045067,"2005-04"
2018-08-31,60676,"07446","NJ","New York-Newark-Jersey City","Bergen","Ramsey",7366,557700,-0.00143240823634736,-0.00765124555160142,0.0180722891566265,0.0194497263209601,-0.0016527389087323,"2006-07","2006-Q3",616900,-0.095963689414816,"2005-04"
2018-08-31,74465,"37760","TN","Morristown","Jefferson","Jefferson City",7367,132600,0.000754716981132075,0.00378501135503407,0.0515463917525773,0.0488251091265322,0.0118288514281542,"2018-08","2018-Q3",132600,0,"2018-08"
2018-08-31,78702,"47620","IN","Evansville","Posey","Mount Vernon",7368,135200,0,0.00148148148148148,0.0628930817610063,0.0514143136511167,0.0237440764832793,"2018-08","2018-Q3",135200,0,"2018-08"
2018-08-31,87110,"66112","KS","Kansas City","Wyandotte","Kansas City",7369,130500,-0.00381679389312977,0.0046189376443418,0.170403587443946,0.105876684205525,0.0184462109509478,"2018-07","2018-Q3",131000,-0.00381679389312977,"2018-06"
2018-08-31,65670,"18964","PA","Philadelphia-Camden-Wilmington","Montgomery","Franconia",7370,276200,-0.00144613159797542,-0.0025279884434814,0.0430513595166163,0.02499775539144,0.00197497480009634,"2007-08","2007-Q3",284500,-0.0291739894551845,"2005-08"
2018-08-31,78990,"48118","MI","Ann Arbor","Washtenaw","Chelsea",7371,270900,-0.00220994475138122,-0.00257731958762887,0.0636042402826855,0.0739861861842115,0.038598708338307,"2018-06","2018-Q2",272400,-0.00550660792951542,"2018-05"
2018-08-31,65766,"19096","PA","Philadelphia-Camden-Wilmington","Montgomery","Wynnewood",7372,512400,-0.00253065991824022,0.000195198126097989,0.0474243663123467,0.0251035260806756,0.010157115133304,"2018-06","2018-Q2",514200,-0.00350058343057176,"2018-06"
2018-08-31,79703,"49337","MI",,"Newaygo","Newaygo",7373,111200,0,0.0145985401459854,0.115346038114343,0.0560117224281416,0.0230034040316986,"2006-01","2006-Q1",111900,-0.00625558534405719,"2005-11"
2018-08-31,97052,"92845","CA","Los Angeles-Long Beach-Anaheim","Orange","Garden Grove",7374,665800,0,0,0.0349759054873309,0.0550256741419872,0.0324489061101121,"2018-06","2018-Q2",666500,-0.00105026256564141,"2018-05"
