ZipCode,City,nb of crimes,Number of returns,crime per tax payer
85351, Sun City,1.0,13930.0,7.178750897343863e-05
85353, Phoenix,1876.0,16010.0,0.11717676452217364
85354, Tonopah,,2470.0,
85355, Waddell,1.0,4930.0,0.00020283975659229209
85361, Wittmann,,2590.0,
85363, Youngtown,2.0,2780.0,0.0007194244604316547
85373, Sun City,,8220.0,
85374, Surprise,,17910.0,
85375, Sun City West,,13390.0,
85377, Carefree,,,
85379, Surprise,,18140.0,
85381, Peoria,1.0,12300.0,8.130081300813008e-05
85382, Peoria,2.0,19310.0,0.00010357327809425168
85383, Peoria,4.0,23770.0,0.00016827934371055952
85387, Surprise,,5100.0,
85388, Surprise,,11080.0,
85390, Wickenburg,,2900.0,
85392, Avondale,10.0,16430.0,0.0006086427267194157
85395, Goodyear,2.0,12810.0,0.000156128024980484
85396, Buckeye,13.0,8840.0,0.0014705882352941176
85618, Mammoth,,560.0,
85623, Oracle,,2140.0,
85631, San Manuel,,1220.0,
